50	50	0	0	0	-1
55	50	-0,0841471	0	0	-1
59,98231	49,57976	-0,1682942	0	0	-1
64,91167	48,74226	-0,2524413	0	0	-1
69,7532	47,49341	-0,3365884	0	0	-1
74,47263	45,84207	-0,4207355	0	0	-1
79,03658	43,79991	-0,5048826	0	0	-1
83,41273	41,38139	-0,5890297	0	0	-1
87,57014	38,60361	-0,6731768	0	0	-1
91,47936	35,48625	-0,7573239	0	0	-1
95,11275	32,05136	-0,841471	0	0	-1
98,44458	28,32324	-0,9256181	0	0	-1
101,4513	24,32827	-1,009765	0	0	-1
104,1116	20,09474	-1,093912	0	0	-1
106,4067	15,65259	-1,178059	370	401	1
108,3202	11,03327	-1,093912	370	401	1
110,6153	6,591117	-1,009765	370	401	1
113,2756	2,357582	-0,9256182	370	401	1
116,2823	-1,637381	-0,8414711	370	401	1
119,6142	-5,365502	-0,757324	370	401	1
123,2475	-8,800399	-0,6731769	370	401	1
127,1568	-11,91776	-0,5890298	370	401	1
131,3142	-14,69554	-0,5048827	370	401	1
135,6903	-17,11406	-0,4207356	370	401	1
140,2543	-19,15622	-0,3365885	370	401	1
144,9737	-20,80757	-0,2524414	370	401	1
149,8152	-22,05641	-0,1682943	370	401	1
154,7446	-22,89392	-0,08414721	370	401	1
159,7269	-23,31416	-1,045444E-07	370	401	1
164,7269	-23,31416	0,084147	370	401	1
169,7092	-22,89392	0,1682941	370	401	1
174,6386	-22,05641	0,2524412	370	401	1
179,4801	-20,80757	0,3365883	370	401	1
184,1996	-19,15623	0,4207354	370	401	1
188,7635	-17,11407	0,5048825	370	401	1
193,1397	-14,69554	0,5890296	370	401	1
197,2971	-11,91777	0,6731767	370	401	1
201,2063	-8,800408	0,7573238	370	401	1
204,8397	-5,365512	0,8414709	370	401	1
208,1715	-1,637392	0,925618	370	401	1
211,1782	2,357571	1,009765	370	401	1
213,8385	6,591105	1,093912	370	401	1
216,1336	11,03325	1,178059	370	401	1
218,0471	15,65258	1,262206	370	401	-1
219,5657	20,41639	1,178059	370	401	1
221,4793	25,03572	1,262206	370	401	-1
222,9979	29,79953	1,178059	370	401	1
224,9115	34,41886	1,262206	370	401	-1
226,43	39,18267	1,178059	370	401	1
228,3436	43,80199	1,262206	370	401	-1
229,8622	48,56581	1,178059	370	401	1
231,7758	53,18513	1,262206	370	401	-1
233,2944	57,94894	1,178059	370	401	1
235,2079	62,56827	1,262206	370	401	-1
236,7265	67,33208	1,178059	370	401	1
238,6401	71,95141	1,262206	370	401	-1
240,1587	76,71523	1,178059	370	401	1
